City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,anahuac,27.2333,-100.15,23.83,53,99,12.0,MX,1712373425
83,guarapari,-20.6667,-40.4975,25.5,86,57,1.55,BR,1712373425
84,port lincoln,-34.7333,135.8667,17.86,65,8,4.46,AU,1712373426
85,san patricio,28.017,-97.5169,22.14,73,100,6.86,US,1712373309
86,hadibu,12.65,54.0333,26.27,70,6,2.55,YE,1712373426
87,carnarvon,-24.8667,113.6333,27.71,49,0,6.97,AU,1712373426
88,prince rupert,54.3161,-130.3201,4.49,90,100,2.14,CA,1712373310
89,el jadid,33.2549,-8.506,20.85,41,99,0.45,MA,1712373427
90,trapani,37.8333,12.6667,11.97,61,0,1.37,IT,1712373365
91,dauphin,51.1494,-100.0502,4.16,75,100,4.87,CA,1712373349
92,sinj,43.7036,16.6394,13.79,77,51,1.72,HR,1712373428
93,qaqortoq,60.7167,-46.0333,-7.43,70,1,3.62,GL,1712373428
94,barika,35.389,5.3658,17.8,30,4,1.19,DZ,1712373428
95,stanley,54.868,-1.6985,10.95,94,75,3.09,GB,1712373428
96,puerto ayora,-0.7393,-90.3518,25.31,95,88,2.24,EC,1712373429
97,sisimiut,66.9395,-53.6735,-6.75,67,100,5.68,GL,1712373242
98,vadso,70.0744,29.7487,-10.51,84,100,6.54,NO,1712373429
99,enewetak,11.3474,162.3373,27.33,77,90,9.3,MH,1712373429
100,zheleznodorozhnyy,55.7503,38.0042,1.34,40,100,2.68,RU,1712373430
101,catriel,-37.8791,-67.7956,20.52,34,1,3.93,AR,1712373430
102,puerto baquerizo moreno,-0.9,-89.6,23.98,88,96,4.05,EC,1712373430
103,dhidhdhoo,6.8833,73.1,29.23,72,80,3.33,MV,1712373430
104,kurchatov,51.6601,35.6521,-0.77,81,99,2.46,RU,1712373431
105,polyarnyy,69.1989,33.4478,-8.81,84,100,6.33,RU,1712373431
106,belaya kholunitsa,58.84,50.8528,-7.17,73,28,2.99,RU,1712373431
107,belle plaine,44.6227,-93.7686,9.45,68,43,4.74,US,1712373431
108,kruisfontein,-34.0033,24.7314,14.38,72,100,4.18,ZA,1712373431
109,ilulissat,69.2167,-51.1,-6.99,58,75,0.51,GL,1712373432
110,ta`u,-14.2336,-169.5144,28.75,76,100,2.5,AS,1712373432
111,zalari,53.5584,102.5065,3.82,97,100,2.19,RU,1712373433
112,hola,51.5377,23.1902,12.1,88,100,4.76,PL,1712373433
113,hithadhoo,-0.6,73.0833,27.85,79,93,4.35,MV,1712373433
114,cao bang,22.6667,106.25,21.94,93,100,1.5,VN,1712373433
115,arawa,-6.2132,155.5367,28.65,85,64,2.07,PG,1712373433
116,yanam,16.7333,82.2167,33.08,45,100,2.03,IN,1712373434
117,whitehorse,60.7161,-135.0538,1.72,86,100,4.63,CA,1712373379
118,kem',64.9555,34.5793,-6.24,95,100,5.45,RU,1712373428
119,buka,40.8108,69.1986,11.44,80,100,7.17,UZ,1712373434
120,georgetown,5.4112,100.3354,32.96,66,20,3.6,MY,1712373234
121,dadukou,26.5479,101.7054,26.05,30,6,0.68,CN,1712373435
